unit	type	ident	Latitude	Longitude	y_proj	x_proj	comment	altitude	original order
B_unit	pine	cp 161	31.50330084	-109.0175545	3487084.379	688273.1347	5/11/15 14:32	1715.585449	167
B_unit	pine	cp 162	31.50324695	-109.0176751	3487078.197	688261.7859	5/11/15 14:33	1717.98877	168
B_unit	pine	Cp 163	31.50276365	-109.0180808	3487023.92	688224.2201	5/11/15 14:36	1720.632324	169
B_unit	pine	Cp 164	31.50251286	-109.0180805	3486996.117	688224.7546	5/11/15 14:40	1720.39209	171
B_unit	pine	Cp 165	31.50273339	-109.0181177	3487020.502	688220.7775	5/11/15 14:37	1721.113037	170
B_unit	pine	Cp 166	31.50232854	-109.01802	3486975.786	688230.8646	5/11/15 14:41	1720.632324	172
B_unit	pine	Cp 167	31.50230113	-109.0179689	3486972.836	688235.7762	5/11/15 14:41	1721.113037	173
B_unit	pine	Cp 168	31.5021029	-109.0179076	3486950.964	688242.0017	5/11/15 14:43	1722.074463	174
B_unit	pine	Cp 169	31.50196267	-109.0177784	3486935.64	688254.552	5/11/15 14:44	1722.79541	175
B_unit	pine	Cp 17 1	31.51251809	-109.0004041	3488135.84	689883.5556	5/10/15 15:29	1672.807129	18
B_unit	pine	Cp 170	31.5019563	-109.0178089	3486934.881	688251.6667	5/11/15 14:45	1722.074463	176
B_unit	pine	Cp 171	31.50187944	-109.0176667	3486926.604	688265.3241	5/11/15 14:46	1722.79541	177
B_unit	pine	Cp 172 3	31.50183083	-109.0176693	3486921.21	688265.1747	5/11/15 14:47	1724.237305	178
B_unit	pine	Cp 173	31.50169244	-109.0176018	3486905.984	688271.8695	5/11/15 14:48	1723.756592	179
B_unit	pine	Cp 18 1	31.51249093	-109.0005473	3488132.581	689870.0132	5/10/15 15:30	1673.287842	19
B_unit	pine	Cp 19 1	31.51259084	-109.000612	3488143.546	689863.6652	5/10/15 15:31	1674.969971	20
B_unit	pine	Cp 20 4	31.51255421	-109.0006621	3488139.398	689858.9786	5/10/15 15:33	1674.729736	21
B_unit	pine	Cp 21 1	31.51243838	-109.0007428	3488126.416	689851.5465	5/10/15 15:44	1672.807129	22
B_unit	pine	Cp 22 3	31.51239906	-109.0008679	3488121.841	689839.7483	5/10/15 15:44	1673.528076	23
B_unit	pine	Cp 241	31.51231541	-109.0010049	3488112.33	689826.9092	5/10/15 15:45	1673.768311	24
