unit,type,ident,,Latitude,Longitude,y_proj,x_proj,comment,altitude,original order
B_unit,pool,PC 1L1M1S 22m,,31.4976957,-109.0210028,3486457.051,687956.8092,5/13/15 11:03,1717.748535,225
B_unit,pool,PC 1L4M4S 20m,,31.47481889,-109.0337649,3483899.035,686789.9894,5/12/15 14:41,1818.926514,200
B_unit,pool,PC 1L4M4S D,,31.47495593,-109.033737,3483914.276,686792.3611,5/12/15 14:43,1815.081299,201
B_unit,pool,PC 1L4M4S UPPE,,31.47470045,-109.0337592,3483885.915,686790.7663,5/12/15 14:45,1818.445801,202
B_unit,pool,PC 1M 2S,,31.47327762,-109.0346944,3483726.583,686704.7289,5/12/15 17:06,1828.779785,223
B_unit,pool,PC 1M1S,,31.47331852,-109.0350661,3483730.485,686669.3343,5/12/15 16:47,1830.702393,217
B_unit,pool,PC 1M1S 3,,31.47331685,-109.0346658,3483730.981,686707.3668,5/12/15 16:57,1827.337891,221
B_unit,pool,PC 1M2S,,31.47454086,-109.0338286,3483868.104,686784.4812,5/12/15 15:01,1823.011963,203
E_unit,pool,PC 1S 1L14m2,,31.48784671,-108.9458633,3485496.439,695115.0348,16-MAY-15 12:59:13PM,1636.277344,417
E_unit,pool,PC 1S 1M,,31.48715914,-108.9820076,3485356.449,691682.5853,16-MAY-15 3:45:21PM,1694.677002,425
E_unit,pool,PC 2M,,31.48733927,-108.9817299,3485376.904,691708.5997,16-MAY-15 3:48:59PM,1692.754395,427
B_unit,pool,PC 2M2S,,31.47798724,-109.0284458,3484259.362,687289.0698,5/13/15 16:42,1768.938232,238
B_unit,pool,Pc 2S,,31.47762414,-109.0266187,3484222.229,687463.3899,5/13/15 16:51,1761.488037,241
E_unit,pool,PC 2S 1M,,31.48640963,-108.9470877,3485334.938,695001.6994,16-MAY-15 12:48:15PM,1634.354736,415
E_unit,pool,PC 2S1,,31.4865165,-108.9471298,3485346.711,694997.48,16-MAY-15 12:49:33PM,1636.036865,416
E_unit,pool,PC 2S1M,,31.48827771,-108.9790154,3485485.694,691964.5688,16-MAY-15 4:11:03PM,1689.149414,435
E_unit,pool,PC 3S,,31.4876007,-108.9834771,3485402.834,691542.0749,16-MAY-15 3:36:54PM,1696.599609,420
B_unit,pool,Pc 4M2S,,31.47714268,-109.0231666,3484174.759,687792.3443,5/13/15 17:38,1746.106934,249
E_unit,pool,Pc 5S3M,,31.47736447,-109.0183603,3484207.587,688248.5597,12-MAY-15 12:50:59PM,1729.28418,379
B_unit,pool,Pc M2,,31.4779424,-109.0289139,3484253.591,687244.6811,5/13/15 16:39,1772.0625,235
E_unit,pool,Pc S1L1,,31.47751392,-109.0138241,3484231.952,688679.259,12-MAY-15 4:36:25PM,1706.693359,394
E_unit,pool,Pc S4,,31.47763588,-109.0167711,3484240.406,688399.0194,12-MAY-15 5:10:52PM,1720.151855,401
B_unit,pool,PC S41,,31.47666475,-109.0244821,3484119.522,687668.3128,5/13/15 17:31,1751.154053,247
B_unit,pool,PC S5,,31.47331333,-109.035248,3483729.6,686652.0623,5/12/15 16:43,1831.183105,215
J_UNIT,pool,PC1 1M1L 19m,,31.49095824,-108.9484461,3485836.809,694863.2105,5/16/15 11:00,1626.183594,535
J_UNIT,pool,PC1 1S1M1L 26m,,31.49350625,-108.9374435,3486138.91,695903.158,5/17/15 12:10,1617.29126,536
J_UNIT,pool,Pc1 3S1M,,31.48351125,-109.0239685,3484879.429,687703.4325,5/14/15 16:26,1797.537109,537
J_UNIT,pool,PC1 D,,31.49103024,-108.9486149,3485844.491,694847.0238,5/16/15 11:08,1627.865967,538
J_UNIT,pool,PC1 U,,31.4909222,-108.9483236,3485833.031,694874.9191,5/16/15 11:07,1626.904541,539
E_unit,pool,PC101 3S2M,,31.51234785,-109.0167001,3488088.837,688336.1446,17-MAY-15 3:01:41PM,1715.825684,453
E_unit,pool,PC102 2M,,31.484057,-109.0244961,3484939.029,687652.221,18-MAY-15 1:25:24PM,1808.351807,461
J_UNIT,pool,PC12 1S1M 6.5m,,31.49174605,-108.9749744,3485877.297,692341.3751,5/16/15 16:36,1675.690918,540
B_unit,pool,PC2 1M1S,,31.47331894,-109.034974,3483730.689,686678.0861,5/12/15 16:49,1829.260498,218
J_UNIT,pool,PC2 1S1L 21m,,31.49016741,-108.9501006,3485746.192,694707.6618,5/16/15 11:34,1630.509521,541
J_UNIT,pool,Pc2 1S2M,,31.48358141,-109.0241077,3484886.968,687690.0652,5/14/15 16:29,1799.700195,542
E_unit,pool,PC2 2M,,31.488313,-108.977679,3485491.947,692091.46,16-MAY-15 4:22:49PM,1687.467285,437
E_unit,pool,PC2 2S,,31.48753247,-108.9812355,3485399.188,691755.18,16-MAY-15 3:52:08PM,1691.3125,428
J_UNIT,pool,PC2 D,,31.49022608,-108.9499925,3485752.889,694717.8124,5/16/15 11:39,1630.028809,543
J_UNIT,pool,PC2 U,,31.49020898,-108.9502657,3485750.508,694691.8965,5/16/15 11:37,1631.230469,544
B_unit,pool,PC2M1S,,31.47508962,-109.033739,3483929.094,686791.9123,5/12/15 14:20,1807.150146,198
T_UNIT,pool,PC2S1M,,31.47277756,-109.0129709,3483708.329,688769.8436,12-MAY-15 3:33:49PM,1697.080322,594
T_UNIT,pool,PC2S2M,,31.47025385,-109.0119179,3483430.354,688874.9619,12-MAY-15 3:00:32PM,1696.359375,589
J_UNIT,pool,PC3 1S1M 1.25m,,31.48973641,-108.9525794,3485694.009,694473.0649,16-MAY-15 12:03:29 Macie pic,1636.517578,545
E_unit,pool,PC3 2S,,31.49052381,-108.9443238,3485795.98,695255.7301,17-MAY-15 12:43:00PM,1626.904541,450
J_UNIT,pool,Pc3 3S1M1L,,31.48367998,-109.0242273,3484897.691,687678.5045,5/14/15 16:33,1799.94043,546
J_UNIT,pool,Pc3 D,,31.48360991,-109.0241388,3484890.074,687687.0538,5/14/15 16:37,1799.459717,547
J_UNIT,pool,Pc3S,,31.48346088,-109.0236489,3484874.391,687733.8975,5/14/15 16:24,1797.056641,548
J_UNIT,pool,Pc3S1M,,31.48331981,-109.02319,3484859.538,687777.779,5/14/15 16:08,1788.164551,549
J_UNIT,pool,PC4 1S3M 3.5m,,31.48938487,-108.9538857,3485652.719,694349.6887,5/16/15 12:41,1638.680664,550
J_UNIT,pool,PC4 2M 9m,,31.48969408,-108.9528008,3485688.923,694452.1222,5/16/15 12:06,1637.719238,551
J_UNIT,pool,PC5 3S1M 2.75m,,31.48941144,-108.9545201,3485654.54,694289.3694,5/16/15 12:52,1643.006348,552
J_UNIT,pool,PC5 D,,31.48942955,-108.9544759,3485656.626,694293.5285,5/16/15 12:54,1642.766113,553
J_UNIT,pool,PC5 U,,31.48942393,-108.9545472,3485655.877,694286.7716,5/16/15 12:55,1643.246826,554
J_UNIT,pool,PC6 1S1M 2.5m,,31.48895706,-108.95584,3485601.826,694164.9147,5/16/15 13:15,1642.766113,555
J_UNIT,pool,PC6 3M 3.5m,,31.48967799,-108.9580281,3485677.879,693955.5503,5/16/15 14:35,1648.053223,556
J_UNIT,pool,PC6 D,,31.48971101,-108.9578927,3485681.78,693968.3424,5/16/15 14:36,1648.293457,557
J_UNIT,pool,PC6 U,,31.48957665,-108.9580843,3485666.544,693950.4164,5/16/15 14:37,1645.890381,558
J_UNIT,pool,PC7 1M1L 15.5m,,31.48833856,-108.9604997,3485525.012,693723.4995,5/16/15 14:55,1651.417725,559
J_UNIT,pool,PC7 D,,31.48832163,-108.9604757,3485523.177,693725.8198,5/16/15 14:57,1649.97583,560
J_UNIT,pool,PC7 U,,31.48822029,-108.9605885,3485511.743,693715.3104,5/16/15 14:58,1650.937256,561
J_UNIT,pool,PC8 2M 3m,,31.49171881,-108.9716483,3485880.118,692657.4185,5/16/15 16:23,1669.923096,562
E_unit,pool,PC8 6S21M1L 23,,31.48383404,-109.0244249,3484914.433,687659.4272,18-MAY-15 2:35:45PM,1814.119873,470
